Sentiment,Tweet
negative,Jelek filmnya... apalagi si ernest gak mutu bgt actingnya... film sampah
negative,Film king Arthur ini film paling jelek dari seluruh cerita King Arthur 
negative,@beexkuanlin Sepanjang film gwa berkata kasar terus pada bapaknya
negative,Ane ga suka fast and furious..menurutku kok jelek ya tu film
negative,"@baekhyun36 kan gua ga tau film nya, lu bilang perang perangan/? Perang""an disebut ama rp yaoi jadi ambigu :v"
negative,tolong editingnya yg bagus ya. Saya sering kecewa dgn film indonesia. Ditunggu filmnya!!
negative,"Kecewa dgn salah satu aktornya yg ternyata pendukung penista agama. Ah, saya harus bersabar utk tak menonton film ini."
negative,Kecewa parah sama film the guys. Dear @radityadika sorry to say this.
negative,Banyak yg kecewa abis nonton film ini :(
negative,#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno.
negative,"film jelek, jelas. Ga ada isinya. "
negative,awal bulan ini nonton dua film Indonesia di bioskop: kartini dan critical eleven. penggambaran kartini dan ale juga anya terlalu lemah. :( 
negative,"Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi"
negative,"Btw Danur jelek banget, gausah ditonton Hans @hansdavidian gue kebayang lo bakal #meantweets soal film ini ntar! Lol"
negative,"Film Kartini trlalu singkat, sehingga penonton yg mungkin blm baca biografi jelas ttg Kartini agak bingung. Saya sndiri emg blm baca bukuny."
negative,"Habis nonton the guys, entah kenapa aku sedikit kecewa nonton film ini.. Dibanding film sebelumnya kok ini anjlok ya"
negative,Yang udah nonton film Alien kok pada kecewa ya. Jadi ragu buat nonton.
negative,satu-satunya kerugian nonton film action itu.. aktornya jadi keliatan jelek :p
negative,Ini film yang bilang bagus...Kelompoknya doang. Yang kasih penghargaan juga dia2 aj. waktu nonton ternyata jelek.
negative,"baik, kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan menonton film jelek."
negative,"Film King Arthur itu tidak jelek namun juga tidak bagus. Biasa saja, cenderung mudah dilupakan."
negative,"Jelek ah jelek Pantas film Dimension tidak pernah dirilis, akting kamu begini ternyata /ga "
negative,duh ini film ribet banget ...
negative,"Dgn durasi film yg tll panjang, alur yg datar, akhirnya stlh #CriticalEleven selesai sy keluar dgn pertanyaan: ini masalahnya apa sih?"
negative,"Banyak adegan penting yang di potong, jadinya merusak film itu sendiri "
negative,"baru selesai nonton film GOAL 3, ternyata penurunan kualitas film nya drastis parah."
negative,Baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton: Black Bulter
negative,ogah nonton lagi saya. Kecewa ama itu film 
negative,"Kecewa berat sama film Power Rangers, dibawah ekspektasi banget "
negative,Bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu
negative,"Sebenernya nggak ada yang salah sama akting Prilly di film Danur menurut aku oke oke aja. Yang kurang greget itu ceritanya sih, kurang kuat."
negative,"Tadi abis nonton film balap2 mobil itu,tertidur sekitar 15 menit. Entah lelah entah bosan."
negative,The mummy film yg terasa mulai aneh sejak pertengahan filmnya #mummy
negative,"Memang malah kelihatan aneh kalau ada film besutan Marvel yang ga ada post-credit scene nya,kaya film yg habis saya tonton,#Logan."
negative,Film norak!!!! 
negative,adanya film critical eleven ini jadi merusak image Ale Anya di kepalaku :(
negative,"#FactRica ~ kurang suka sama film-film romantis, karena endingnya pasti jadian"
negative,Dibalik novel yang diangkat jadi film. Terus jadinya kurang. Sesungguhny ada campur tangan produser yang sok tau dengan embel2 lebih menjual
negative,karena ga respect kelakuan si dian sastro ...film itu jadi hambar.... ga bermutu...!!! 
negative,sebnarnya ini film lumyan bgus..sayangnya aktor n aktrisnya dari rusia jadi filmnya trsa hambar
negative,Kalo Nolan bikin film gak ada perempuan seksi* dan bumbu percintaan selalu hambar.
negative,"1. Insidious (2010) Meski creepy dan bagian awalnya bikin tegang, bagian akhir film ini justru terasa agak datar. Hal tersebut berpengaruh+"
negative,Ini gue nonton film homo aja rumit bener
negative,Sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget. sayang banget
negative,Film macam apa ini? Nonton nya bikin gue menderita -_-
negative,jadi gue nonton The Mummy ini karena seseorang bilang film nya bagus. tapi kemudian setelah keluar dari bioskop merasa menyesal...
negative,"Semalam nonton film ini, paginya ane download, malem langsung nonton.. ane smpai begadang.. hasilnya? Ane Kecewa...  "
negative,"Aku takut kecewa nonton film Danur, takut ga sesuai ekspetasi ketika di buku. Mikir panjang, serius."
negative,Nonton alien : covenant di @cinema21 mall @MciMall kaya nonton bajakan parah ada yg di SKIP mati mati jelek parah!!!! Film bagus jadi jelek 
negative,"gue adalah orang yg jarang bgt nntn film indonesia..krn tiap nntn, gue slalu kecewa sama pembuatan film yg mnrt gue ga totalitas"
negative,"Awalnya agak ragu mau nonton, karena kebanyakan kecewa waktu nonton film dari adaptasi novel"
negative,Sebenarnya gamau berekspektasi tinggi sih dari sebuah film yang diangkat dr buku. Biasanya malah kecewa :(
negative,Ya sudah tidur saja kecewa film nya bukan yang diharepin hufy
negative,"Sama, ane juga kecewa ma nih film, padahal udah lama nungguin"
